"","id","Datum","Warengruppe","Umsatz","wochentag","jahreszeit","monat","Bewoelkung","Temperatur","Windgeschwindigkeit","Wettercode","KielerWoche","Feiertag","Ferien"
"1",1307011,2013-07-01,1,148.828353112183,"Montag","Sommer","07",6,17.8375,15,20,FALSE,FALSE,TRUE
"2",1307021,2013-07-02,1,159.79375714468,"Dienstag","Sommer","07",3,17.3125,10,NA,FALSE,FALSE,TRUE
"3",1307031,2013-07-03,1,111.885593514353,"Mittwoch","Sommer","07",7,21.075,6,61,FALSE,FALSE,TRUE
"4",1307041,2013-07-04,1,168.864940979931,"Donnerstag","Sommer","07",7,18.85,7,20,FALSE,FALSE,TRUE
"5",1307051,2013-07-05,1,171.280754117955,"Freitag","Sommer","07",5,19.975,12,NA,FALSE,FALSE,TRUE
"6",1307061,2013-07-06,1,174.552359998476,"Samstag","Sommer","07",0,18.9625,8,NA,FALSE,FALSE,TRUE
"7",1307071,2013-07-07,1,92.6377553788373,"Sonntag","Sommer","07",0,21.375,9,NA,FALSE,FALSE,TRUE
"8",1307081,2013-07-08,1,135.500244042392,"Montag","Sommer","07",0,22.725,10,5,FALSE,FALSE,TRUE
"9",1307091,2013-07-09,1,136.048382778344,"Dienstag","Sommer","07",0,23.275,8,NA,FALSE,FALSE,TRUE
"10",1307101,2013-07-10,1,135.132314289581,"Mittwoch","Sommer","07",2,19.6875,13,5,FALSE,FALSE,TRUE
"11",1307111,2013-07-11,1,138.549392636714,"Donnerstag","Sommer","07",0,21.375,12,5,FALSE,FALSE,TRUE
"12",1307121,2013-07-12,1,101.447511461298,"Freitag","Sommer","07",0,20.2875,7,NA,FALSE,FALSE,TRUE
"13",1307131,2013-07-13,1,141.233309883732,"Samstag","Sommer","07",1,20.125,12,NA,FALSE,FALSE,TRUE
"14",1307141,2013-07-14,1,112.524365708762,"Sonntag","Sommer","07",5,17.6875,15,5,FALSE,FALSE,TRUE
"15",1307151,2013-07-15,1,161.264677322182,"Montag","Sommer","07",6,18.7375,12,NA,FALSE,FALSE,TRUE
"16",1307161,2013-07-16,1,116.821358174215,"Dienstag","Sommer","07",1,21.1875,10,NA,FALSE,FALSE,TRUE
"17",1307171,2013-07-17,1,150.572919592838,"Mittwoch","Sommer","07",5,22.5125,8,NA,FALSE,FALSE,TRUE
"18",1307181,2013-07-18,1,101.90072129658,"Donnerstag","Sommer","07",1,23.25,11,5,FALSE,FALSE,TRUE
"19",1307191,2013-07-19,1,161.63511518654,"Freitag","Sommer","07",3,22.475,16,5,FALSE,FALSE,TRUE
"20",1307201,2013-07-20,1,134.328076682024,"Samstag","Sommer","07",0,23.1875,8,NA,FALSE,FALSE,TRUE
"21",1307211,2013-07-21,1,66.2887578161955,"Sonntag","Sommer","07",0,26.375,8,NA,FALSE,FALSE,TRUE
"22",1307221,2013-07-22,1,131.223948997842,"Montag","Sommer","07",0,26.1,9,NA,FALSE,FALSE,TRUE
"23",1307231,2013-07-23,1,110.315246796665,"Dienstag","Sommer","07",0,24.95,12,NA,FALSE,FALSE,TRUE
"24",1307241,2013-07-24,1,141.891908195545,"Mittwoch","Sommer","07",3,24.075,11,NA,FALSE,FALSE,TRUE
"25",1307251,2013-07-25,1,167.701216640907,"Donnerstag","Sommer","07",2,23.0875,9,NA,FALSE,FALSE,TRUE
"26",1307261,2013-07-26,1,147.272084366206,"Freitag","Sommer","07",3,27.2625,6,NA,FALSE,FALSE,TRUE
"27",1307271,2013-07-27,1,161.403357795112,"Samstag","Sommer","07",1,26.1625,10,NA,FALSE,FALSE,TRUE
"28",1307281,2013-07-28,1,86.0791432446654,"Sonntag","Sommer","07",4,24.8875,13,61,FALSE,FALSE,TRUE
"29",1307291,2013-07-29,1,183.564164400591,"Montag","Sommer","07",1,22.7875,10,NA,FALSE,FALSE,TRUE
"30",1307301,2013-07-30,1,132.111640117897,"Dienstag","Sommer","07",5,21.075,13,21,FALSE,FALSE,TRUE
"31",1307311,2013-07-31,1,144.745431773143,"Mittwoch","Sommer","07",5,20.275,16,65,FALSE,FALSE,TRUE
"32",1308011,2013-08-01,1,157.854023011106,"Donnerstag","Sommer","08",6,23.4,7,21,FALSE,FALSE,TRUE
"33",1308021,2013-08-02,1,117.359342094889,"Freitag","Sommer","08",0,31.4375,7,NA,FALSE,FALSE,TRUE
"34",1308031,2013-08-03,1,186.027178770079,"Samstag","Sommer","08",4,23.3625,11,63,FALSE,FALSE,TRUE
"35",1308041,2013-08-04,1,104.708216687715,"Sonntag","Sommer","08",3,23.05,8,NA,FALSE,FALSE,FALSE
"36",1308051,2013-08-05,1,146.775309890073,"Montag","Sommer","08",0,25.8,10,NA,FALSE,FALSE,FALSE
"37",1308061,2013-08-06,1,131.956277381283,"Dienstag","Sommer","08",5,22.225,13,NA,FALSE,FALSE,FALSE
"38",1308071,2013-08-07,1,160.593417296116,"Mittwoch","Sommer","08",4,19.2125,8,NA,FALSE,FALSE,FALSE
"39",1308081,2013-08-08,1,153.099424561652,"Donnerstag","Sommer","08",7,16.975,12,20,FALSE,FALSE,FALSE
